title,doi,nlmid,altmetric_jid,issns,journal,altmetric_id,schema,is_oa,cited_by_posts_count,cited_by_gplus_count,cited_by_fbwalls_count,cited_by_tweeters_count,cited_by_accounts_count,cited_by_feeds_count,cited_by_rdts_count,cited_by_msm_count,cited_by_delicious_count,cited_by_forum_count,cited_by_qs_count,cited_by_rh_count,score,mendeley,connotea,citeulike,url,added_on,published_on,subjects,scopus_subjects,last_updated,readers_count,details_url,cited_by_fbwalls_count.1,cited_by_tweeters_count.1,cited_by_feeds_count.1,X10_cited_by_tweeters_count,X13_cited_by_accounts_count,X13_cited_by_posts_count,X10_cited_by_accounts_count,X11_cited_by_posts_count,cited_by_gplus_count.1,X19_cited_by_tweeters_count,X20_cited_by_accounts_count,X25_cited_by_posts_count,X10_cited_by_posts_count,jecolcitations
Distribution patterns of tropical woody species in response to climatic and edaphic gradients,10.1111/j.1365-2745.2011.01890.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,381165,1.5.4,FALSE,3,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,2.25,19,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01890.x/abstract,1316961141,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1316966748,19,http://www.altmetric.com/details.php?citation_id=381165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Evidence for assembly rules: limiting similarity within a saltmarsh,10.1111/j.1365-2745.2011.01891.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,430889,1.5.4,FALSE,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1.5,25,0,1,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01891.x,1319696543,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1328175534,26,http://www.altmetric.com/details.php?citation_id=430889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ContextÌ¢åÛåêdependent benefits from antÌ¢åÛåÒplant mutualism in three sympatric varieties of Chamaecrista desvauxii,10.1111/j.1365-2745.2011.01892.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,381163,1.5.4,FALSE,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.25,8,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01892.x/abstract,1316961135,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1316739781,8,http://www.altmetric.com/details.php?citation_id=381163,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
454Ì¢åÛåêsequencing reveals stochastic local reassembly and high disturbance tolerance within arbuscular mycorrhizal fungal communities,10.1111/j.1365-2745.2011.01894.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,381164,1.5.4,FALSE,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1.25,28,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01894.x/abstract,1316961137,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1316739784,28,http://www.altmetric.com/details.php?citation_id=381164,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Is climate a stronger driver of tree growth than disturbance? A comment on Toledo etal. (2011),10.1111/j.1365-2745.2011.01895.x,50202,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,788420,1.5.4,FALSE,7,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,2.85,9,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01895.x/abstract,1339511405,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1345018155,9,http://www.altmetric.com/details.php?citation_id=788420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Interspecific differences in wood decay rates: insights from a new shortÌ¢åÛåêterm method to study longÌ¢åÛåêterm wood decomposition,10.1111/j.1365-2745.2011.01896.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,381160,1.5.4,FALSE,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.25,21,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01896.x/abstract,1316961129,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1316638998,21,http://www.altmetric.com/details.php?citation_id=381160,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species traits and their nonÌ¢åÛåêadditive interactions control the water economy of bryophyte cushions,10.1111/j.1365-2745.2011.01898.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,381159,1.5.4,FALSE,3,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,0.95,11,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01898.x/abstract,1316961126,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1317154784,11,http://www.altmetric.com/details.php?citation_id=381159,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Variable offspring size as an adaptation to environmental heterogeneity in a clonal plant species: integrating experimental and modelling approaches,10.1111/j.1365-2745.2011.01899.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,384441,1.5.4,FALSE,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,0.7,14,0,1,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01899.x/abstract,1317159024,852076800,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1317160517,15,http://www.altmetric.com/details.php?citation_id=384441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Marine megaherbivore grazing may increase seagrass tolerance to high nutrient loads,10.1111/j.1365-2745.2011.01900.x,NA,4f6fa4f03cf058f610002d62,"00220477,",Journal of Ecology,385396,1.5.4,FALSE,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,3.5,10,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01900.x/pdf,1317230482,1314831600,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1329664799,10,http://www.altmetric.com/details.php?citation_id=385396,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
On the reliability of visual communication in vertebrateÌ¢åÛåêdispersed fruits,10.1111/j.1365-2745.2011.01901.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,387570,1.5.4,FALSE,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,0.85,6,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01901.x/abstract,1317404053,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1319695293,6,http://www.altmetric.com/details.php?citation_id=387570,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"Changes in the largeÌ¢åÛåêscale distribution of plants: extinction, colonisation and the effects of climate",10.1111/j.1365-2745.2011.01902.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,384373,1.5.4,FALSE,7,NA,NA,4,5,1,NA,NA,NA,NA,NA,NA,11.488,9,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01902.x/abstract,1317153752,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1329217323,9,http://www.altmetric.com/details.php?citation_id=384373,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Willows indirectly reduce arbuscular mycorrhizal fungal colonization in understorey communities,10.1111/j.1365-2745.2011.01903.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,388968,1.5.4,FALSE,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.35,9,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01903.x/abstract,1317562838,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1317561801,9,http://www.altmetric.com/details.php?citation_id=388968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"Tropical tree seedling growth responses to nitrogen, phosphorus and potassium addition",10.1111/j.1365-2745.2011.01904.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,421310,1.5.4,FALSE,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,22,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01904.x/abstract,1319119698,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1319695295,22,http://www.altmetric.com/details.php?citation_id=421310,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ecosystem CO2 starvation and terrestrial silicate weathering: mechanisms and globalÌ¢åÛåêscale quantification during the late Miocene,10.1111/j.1365-2745.2011.01905.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496315,1.5.4,FALSE,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.5,6,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01905.x,1324037277,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1324036538,6,http://www.altmetric.com/details.php?citation_id=496315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Root responses to nutrients and soil biota: drivers of species coexistence and ecosystem productivity,10.1111/j.1365-2745.2011.01906.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496316,1.5.4,FALSE,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01906.x,1324037280,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1324063219,4,http://www.altmetric.com/details.php?citation_id=496316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"Linking vegetation change, carbon sequestration and biodiversity: insights from island ecosystems in a longÌ¢åÛåêterm natural experiment",10.1111/j.1365-2745.2011.01907.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496319,1.5.4,FALSE,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,3,43,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01907.x,1324037289,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1346917885,43,http://www.altmetric.com/details.php?citation_id=496319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Joint consequences of dispersal and niche overlap on local diversity and resource use,10.1111/j.1365-2745.2011.01908.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,421973,1.5.4,FALSE,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,2.95,21,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01908.x/abstract,1319156909,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1319695296,21,http://www.altmetric.com/details.php?citation_id=421973,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Phenotypic differentiation in a common garden reflects the phylogeography of a widespread Alpine plant,10.1111/j.1365-2745.2011.01909.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,417952,1.5.4,FALSE,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,22,0,1,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01909.x/abstract,1318940068,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1319695296,23,http://www.altmetric.com/details.php?citation_id=417952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Modelling spread of British windÌ¢åÛåêdispersed plants under future wind speeds in a changing climate,10.1111/j.1365-2745.2011.01910.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496317,1.5.4,FALSE,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1.5,1,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01910.x,1324037282,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1326726759,1,http://www.altmetric.com/details.php?citation_id=496317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
FieldÌ¢åÛåêscale evaluation of effects of nitrogen deposition on the functioning of heathland ecosystems,10.1111/j.1365-2745.2011.01911.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,437846,1.5.4,FALSE,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2.5,11,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01911.x/abstract,1320234301,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1329216472,11,http://www.altmetric.com/details.php?citation_id=437846,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ontogenetic conflicts and rank reversals in two Mediterranean oak species: implications for coexistence,10.1111/j.1365-2745.2011.01912.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,430886,1.5.4,FALSE,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,2.5,13,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01912.x,1319696533,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1320692697,13,http://www.altmetric.com/details.php?citation_id=430886,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Photosynthesis and productivity in heterogeneous arctic tundra: consequences for ecosystem function of mixing vegetation types at stand edges,10.1111/j.1365-2745.2011.01913.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,430890,1.5.4,FALSE,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,7,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01913.x,1319696558,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1319910139,7,http://www.altmetric.com/details.php?citation_id=430890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"Invasions: the trail behind, the path ahead, and a test of a disturbing idea",10.1111/j.1365-2745.2011.01915.x,NA,4f6fa4f03cf058f610002d62,"00220477,",Journal of Ecology,494839,1.5.4,FALSE,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,11.448,43,0,1,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01915.x/pdf,1323995371,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1326855780,44,http://www.altmetric.com/details.php?citation_id=494839,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"The productivity, metabolism and carbon cycle of tropical forest vegetation",10.1111/j.1365-2745.2011.01916.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496313,1.5.4,FALSE,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.5,43,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01916.x,1324037271,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1324036538,43,http://www.altmetric.com/details.php?citation_id=496313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Metapopulations and metacommunities: combining spatial and temporal perspectives in plant ecology,10.1111/j.1365-2745.2011.01917.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496312,1.5.4,FALSE,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.5,38,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01917.x,1324037269,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1324036542,38,http://www.altmetric.com/details.php?citation_id=496312,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Species richness effects on ecosystem multifunctionality depend on evenness, composition and spatial pattern",10.1111/j.1365-2745.2011.01918.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,438224,1.5.4,FALSE,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2.75,31,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01918.x/abstract,1320252676,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1329316062,31,http://www.altmetric.com/details.php?citation_id=438224,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Evolutionary changes in plant reproductive traits following habitat fragmentation and their consequences for population fitness,10.1111/j.1365-2745.2011.01919.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496314,1.5.4,FALSE,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.5,37,0,1,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01919.x,1324037274,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1324036538,38,http://www.altmetric.com/details.php?citation_id=496314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A general integrative framework for modelling woody biomass production and carbon sequestration rates in forests,10.1111/j.1365-2745.2011.01920.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,496318,1.5.4,FALSE,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.5,29,0,0,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2745.2011.01920.x,1324037287,1325376000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1324036543,29,http://www.altmetric.com/details.php?citation_id=496318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
The savannaÌ¢åÛåêgrassland Ì¢åÛå÷treelineÌ¢åÛåª: why donÌ¢åÛåªt savanna trees occur in upland grasslands?,10.1111/j.1365-2745.2011.01921.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,460680,1.5.4,FALSE,8,NA,1,5,7,NA,NA,NA,NA,NA,NA,NA,3.85,12,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01921.x/abstract,1321621154,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1329216914,12,http://www.altmetric.com/details.php?citation_id=460680,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Understorey diversity in southern boreal forests is regulated by productivity and its indirect impacts on resource availability and heterogeneity,10.1111/j.1365-2745.2011.01922.x,NA,4f6fa4f03cf058f610002d62,",",Journal of Ecology,458261,1.5.4,FALSE,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,2.7,11,0,0,http://dx.doi.org/10.1111%2Fj.1365-2745.2011.01922.x?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+EcologyResearchAndNews+%28Ecology+research+and+news%29,1321475107,1320105600,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1322041161,11,http://www.altmetric.com/details.php?citation_id=458261,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
